ThreadID: 400680e93c710000, CarID: 3, Object: N0, time stamp: 2341, AID: 2 started passing connector.
ThreadID: 4006e0e83c710000, CarID: 4, Object: N0, time stamp: 2352, AID: 2 started passing connector.
ThreadID: 400640e33c710000, CarID: 5, Object: N0, time stamp: 2362, AID: 2 started passing connector.
ThreadID: 4006e0e33c710000, CarID: 2, Object: N0, time stamp: 2622, AID: 1 arrived at connector.
ThreadID: 400680e93c710000, CarID: 3, Object: N0, time stamp: 2743, AID: 3 finished passing connector.
ThreadID: 4006e0e83c710000, CarID: 4, Object: N0, time stamp: 2753, AID: 3 finished passing connector.
ThreadID: 400640e33c710000, CarID: 5, Object: N0, time stamp: 2763, AID: 3 finished passing connector.
ThreadID: 400620ea3c710000, CarID: 1, Object: N0, time stamp: 2763, AID: 2 started passing connector.
ThreadID: 4006e0e33c710000, CarID: 2, Object: N0, time stamp: 2773, AID: 2 started passing connector.
ThreadID: 400620ea3c710000, CarID: 1, Object: N0, time stamp: 3162, AID: 3 finished passing connector.
ThreadID: 4006e0e33c710000, CarID: 2, Object: N0, time stamp: 3172, AID: 3 finished passing connector.
